Latency,Rise-Time,Amplitude,Events,Pleasantness_class
1.80859375,3.35546875,0.1138973985216514,0.0,pleasant
2.1640625,1.6484375,0.1492501445216163,3.0,unpleasant
2.44140625,3.37890625,0.5564780507212719,2.0,unpleasant
1.0234375,0.7890625,0.02378449077151679,4.0,unpleasant
2.46875,1.8046875,0.02571586776515167,0.0,unpleasant
0.73046875,1.56640625,0.01664929827643924,2.0,unpleasant
0.515625,0.98828125,0.04821087608404317,2.0,unpleasant
2.59765625,2.16796875,0.06038396374187771,5.0,unpleasant
3.37109375,1.97265625,0.08022229272641335,0.0,pleasant
0.1796875,1.8203125,0.2261452527987875,2.0,unpleasant
0.0,0.0,0.0,2.0,pleasant
2.4921875,1.79296875,0.0599211977211298,5.0,pleasant
0.0,0.0,0.0,2.0,unpleasant
2.75,3.26171875,0.1002304882798657,2.0,unpleasant
0.7890625,1.12890625,0.03071254599280948,0.0,unpleasant
1.93359375,1.76953125,0.1062166368091035,2.0,unpleasant
0.2109375,7.38671875,0.8160878263864744,2.0,unpleasant
0.56640625,1.42578125,0.1523332694330506,5.0,pleasant
0.0,0.0,0.0,1.0,pleasant
3.359375,1.25390625,0.03465833563064891,1.0,unpleasant
0.0,0.0,0.0,-2.0,unpleasant
0.0,0.0,0.0,-2.0,pleasant
0.0,0.0,0.0,3.0,unpleasant
1.12890625,2.6484375,0.03924000146225914,0.0,pleasant
0.93359375,1.234375,0.03839841561005874,5.0,pleasant
0.0,0.0,0.0,2.0,unpleasant
1.96875,1.7734375,0.1337066014873964,1.0,unpleasant
0.453125,1.16015625,0.06123546517595146,4.0,unpleasant
3.125,3.28125,0.1294969348460322,2.0,unpleasant
3.27734375,2.0390625,0.1040000893816369,2.0,unpleasant
0.0,0.0,0.0,2.0,unpleasant
2.28515625,2.28515625,0.1236159168921391,4.0,pleasant
0.0,0.0,0.0,-2.0,unpleasant
2.89453125,1.50390625,0.1081837212828383,3.0,unpleasant
3.97265625,1.015625,0.03869564072550036,5.0,pleasant
0.171875,1.19921875,0.05528924891958242,6.0,pleasant
0.70703125,2.25390625,0.2160818151394337,2.0,unpleasant
2.60546875,1.7421875,0.08012339018952419,1.0,pleasant
0.0,0.0,0.0,1.0,pleasant
0.85546875,1.77734375,0.01791174471932733,5.0,unpleasant
3.796875,3.89453125,0.2587573201671534,3.0,unpleasant
0.70703125,2.00390625,0.06856974526479265,0.0,unpleasant
2.46484375,1.2109375,0.01413805961927062,4.0,pleasant
0.0,0.0,0.0,2.0,unpleasant
0.6015625,1.5625,0.1120632032317159,2.0,unpleasant
0.6953125,2.12890625,0.0277611113616234,0.0,pleasant
3.53515625,1.62109375,0.05822497757046152,3.0,unpleasant
0.75,1.09765625,0.02866160424852948,2.0,unpleasant
1.03125,1.9765625,0.1952426024286664,0.0,unpleasant
1.12109375,0.953125,0.03220451747687214,-1.0,pleasant
2.703125,2.85546875,0.1285063230045722,1.0,unpleasant
2.3125,1.8671875,0.1639553056070442,1.0,unpleasant
0.0,0.0,0.0,3.0,unpleasant
1.58203125,1.1015625,0.05381177094755651,0.0,unpleasant
2.15625,1.6328125,0.07058344228880786,3.0,unpleasant
3.15234375,0.9765625,0.01130990578399027,0.0,unpleasant
3.7109375,1.95703125,0.1880922929803712,0.0,pleasant
2.234375,2.54296875,0.147098662799884,3.0,unpleasant
0.0,0.0,0.0,2.0,unpleasant
2.54296875,1.12109375,0.04514211546588776,1.0,pleasant
0.0,0.0,0.0,2.0,unpleasant
